scheme_id,scheme_name,administering_body,level,state,eligible_categories,min_income_limit,max_income_limit,eligible_gender,eligible_education_levels,eligible_disability,eligible_minority,award_amount,application_deadline,description_text,source_url
AICTE_PRAGATI,AICTE Pragati Scholarship for Girl Students,All India Council for Technical Education,Central,,All,0,800000,Female,Undergraduate,All,All,"₹50000/year tuition fee + ₹2000/month incidental charges",October 31 annually,AICTE Pragati Scholarship for girl students pursuing first-year UG degree or diploma in AICTE-approved technical institutions. Family income not exceeding ₹8 lakh. Only one girl child per family eligible per year. Covers tuition fees up to ₹50000 per annum plus incidentals.,https://aicte-india.org/schemes/students-development/pragati
AICTE_SAKSHAM,AICTE Saksham Scholarship for Specially-Abled Students,All India Council for Technical Education,Central,,All,0,800000,All,Undergraduate,Yes,All,"₹50000/year tuition fee + ₹2000/month incidental charges",October 31 annually,AICTE Saksham Scholarship for students with benchmark disabilities of at least 40% in AICTE-approved technical UG degree or diploma programmes. Family income not exceeding ₹8 lakh. Covers tuition fees up to ₹50000 per year plus ₹2000 per month incidental charges.,https://aicte-india.org/schemes/students-development/saksham
INSPIRE_SHE,INSPIRE Scholarship for Higher Education in Sciences,Department of Science and Technology,Central,,All,0,9999999,All,"Undergraduate, Postgraduate",All,All,"₹80000/year + ₹20000/year summer attachment fee",November 30 annually,INSPIRE SHE scholarship for students pursuing Basic and Natural Sciences at UG and PG level. No income limit - purely merit based. Students must be in top 1% in Class 12 board or qualify JEE/NEET. ₹80000 per year for 5 years covering BSc and MSc.,https://online-inspire.gov.in
UGC_SC_ST_PHD,UGC Fellowship for SC/ST Girls for PhD Research,University Grants Commission,Central,,"SC, ST",0,9999999,Female,PhD,All,All,"₹25000/month JRF; ₹28000/month SRF + contingency grant",Rolling,UGC Fellowship for SC/ST girl students pursuing PhD in any recognised university. Must have qualified NET/GATE or been admitted through a national entrance test. Stipend ₹25000 for first 2 years rising to ₹28000 plus annual contingency grants for research.,https://ugc.ac.in/scholarships
EWS_PM_SCHEME,Prime Minister Scholarship Scheme for EWS Students,Ministry of Education,Central,,"General, EWS",0,800000,All,"Undergraduate, Postgraduate",All,All,"₹25000/year boys; ₹30000/year girls",October 15 annually,PM Scholarship for Economically Weaker Section General category students with income below ₹8 lakh. Must score at least 60% in Class 12. Covers UG and PG at recognised universities. Girl students receive higher award. Processed through National Scholarship Portal.,https://scholarships.gov.in
UP_SC_POST_MAT,Post-Matric Scholarship for SC Students Uttar Pradesh,"Social Welfare Dept, Government of Uttar Pradesh",State,Uttar Pradesh,SC,0,250000,All,"Class 12, Undergraduate, Postgraduate",All,All,Full tuition fee reimbursement + maintenance allowance ₹230–₹550/month,November 30 annually,Uttar Pradesh state Post-Matric Scholarship for SC students in Class 11 and above including professional courses. Income ceiling ₹2.5 lakh. Provides full tuition fee reimbursement and monthly maintenance allowance. Students must be domiciled in UP.,https://scholarship.up.gov.in
TN_BC_SCHOLARSHIP,BC/MBC Post-Matric Scholarship Tamil Nadu,"Adi Dravidar and Tribal Welfare Dept, Tamil Nadu",State,Tamil Nadu,"OBC, SC, ST",0,200000,All,"Class 12, Undergraduate, Postgraduate",All,All,Full tuition fee + ₹1000/month maintenance,October 31 annually,Tamil Nadu state scholarship for BC MBC and DNC students pursuing Class 11 and above. Family income not exceeding ₹2 lakh. Covers full tuition fee and monthly maintenance allowance. Students must be domiciled in Tamil Nadu and studying in government or aided institutions.,https://tnscholarships.tn.gov.in
ISHAN_UDAY,Ishan Uday Special Scholarship for North East India,University Grants Commission,Central,,All,0,450000,All,Undergraduate,All,All,"₹5400/month for general courses; ₹7800/month for technical/medical",Rolling,Ishan Uday Special Scholarship for students from North East India pursuing UG studies outside the region. Family income not exceeding ₹4.5 lakh. Covers Arunachal Pradesh Assam Manipur Meghalaya Mizoram Nagaland Sikkim and Tripura students.,https://ugc.ac.in/scholarships
RJ_AMBEDKAR,Dr Ambedkar Post-Matric Scholarship for EBC Students Rajasthan,"Social Justice Dept, Government of Rajasthan",State,Rajasthan,"OBC, General",0,100000,All,"Class 12, Undergraduate, Postgraduate",All,All,"Tuition fee reimbursement + ₹200–₹550/month maintenance",October 31 annually,Rajasthan state Post-Matric Scholarship for EBC students in Class 11 and above. Family income not exceeding ₹1 lakh. Covers tuition fee reimbursement and monthly maintenance. Students must be domiciled in Rajasthan and studying in Rajasthan institutions.,https://sje.rajasthan.gov.in
GIRLS_HIGHER_ED,Scholarship for Girls for Secondary Education,Ministry of Education,Central,,All,0,9999999,Female,"Class 10, Class 12",All,All,"₹3000/year deposited in fixed deposit",March 31 annually,Scholarship for girls who pass Class 8 from Kasturba Gandhi Balika Vidyalayas or government schools in EBB districts to continue secondary education in Classes 9-12. No income limit. ₹3000 deposited as fixed deposit redeemable after Class 12 completion.,https://scholarships.gov.in
